1	0.285410,1	0.260641,1	0.293501,1	0.254211,1	0.289591
2	0.191474,2	0.171737,2	0.177926,2	0.184058,2	0.188687
4	0.111829,4	0.103278,4	0.101482,4	0.099581,4	0.109253
8	0.060855,8	0.062283,8	0.060160,8	0.058876,8	0.060652
16	0.052814,16	0.047247,16	0.044556,16	0.048561,16	0.048483
32	0.044410,32	0.044485,32	0.043088,32	0.043799,32	0.043264
1	2.046841,1	1.999413,1	2.083916,1	1.836743,1	1.977143
2	1.455912,2	1.397233,2	1.205417,2	1.283848,2	1.296184
4	0.730905,4	0.833045,4	0.668766,4	0.718648,4	0.682080
8	0.384720,8	0.378699,8	0.350644,8	0.381158,8	0.366948
16	0.308864,16	0.278783,16	0.286979,16	0.308762,16	0.307640
32	0.211656,32	0.212967,32	0.201531,32	0.234708,32	0.219118
1	4.454540,1	4.464968,1	4.994036,1	4.450108,1	4.306299
2	2.773178,2	3.019406,2	2.829230,2	2.747524,2	3.134970
4	1.583033,4	1.503819,4	1.749491,4	1.888919,4	1.750557
8	0.955302,8	0.929981,8	0.954167,8	1.032519,8	0.959551
16	0.671973,16	0.540097,16	0.576899,16	0.568064,16	0.579037
32	0.394005,32	0.401350,32	0.408050,32	0.393937,32	0.409981
